"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Machine Learning Enabling Traffic-Aware Dynamic Slicing for 5G Optical Transport Networks","C. Song; M. Zhang; X. Huang; Y. Zhan; D. Wang; M. Liu; Y. Rong","State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunications (BUPT), Beijing, 100876, China; State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunications (BUPT), Beijing, 100876, China; China Telecom Corporation, Beijing, 100015, China; Technology and Engineering Center for Space Utilization, Chinese Academy of Science (CAS), Beijing, 100094, China; State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunications (BUPT), Beijing, 100876, China; State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunications (BUPT), Beijing, 100876, China; State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunications (BUPT), Beijing, 100876, China","2018 Conference on Lasers and Electro-Optics (CLEO)","9 Aug 2018","2018","","","1","2","We demonstrate a machine-learning-based traffic-aware approach for dynamic network slicing in optical networks. Experimental results indicate that the proposed framework achieves 96% traffic prediction accuracy, 49% blocking reduction and 29% delay reduction compared with conventional solutions.","","978-1-943580-42-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8427129","","Neurons;Optical fiber networks;Machine learning;Network slicing;Delays;Artificial neural networks;5G mobile communication","5G mobile communication;learning (artificial intelligence);optical fibre networks;telecommunication computing;telecommunication standards;telecommunication traffic;virtualisation","5G optical transport networks;traffic-aware dynamic slicing;traffic prediction accuracy;optical networks;dynamic network slicing;machine-learning-based traffic-aware approach","","","","3","","9 Aug 2018","","","IEEE","IEEE Conferences"
"Automatic Network Slicing for IoT in Smart City","F. Zhou; P. Yu; L. Feng; X. Qiu; Z. Wang; L. Meng; M. Kadoch; L. Gong; X. Yao","BUPT,Beijing; BUPT,Beijing; BUPT,Beijing; BUPT,Beijing; BUPT,Beijing; BUPT,Beijing; Ecole de Technologie Superieure; Academy of Broadcast Planning NRTA of China; State Grid Shanghai Municipal Electric Power Company","IEEE Wireless Communications","7 Jan 2021","2020","27","6","108","115","Internet of things (IoT) in smart city consists of a diversity of public utility and vertical industry services with extremely different performance requirements. As a key technology of 5G networks, network slicing (NS) is featured to provide distinct virtual networks and differentiated QoS guarantees in a shared infrastructure. Therefore, it becomes necessary to employ intelligent NS management for IoT in smart city. This work proposes a machine learning (ML) driven automatic NS framework which can intelligently scale slice according to network state. The resource preservation and slicing implementation scheme is given to trade off robustness and resource efficiency. Finally, the present study provides preliminary results via simulation and experimentation to justify the effectiveness and efficiency of the presented design.","1558-0687","","10.1109/MWC.001.2000069","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9232929","","Network slicing;Smart cities;Internet of Things;5G mobile communication;Companies;Resource management;Dynamic scheduling","Internet of Things;learning (artificial intelligence);quality of service;smart cities;virtualisation","vertical industry services;distinct virtual networks;differentiated QoS guarantees;intelligent NS management;IoT;smart city;network state;resource preservation;slicing implementation scheme;automatic network slicing;public utility;machine learning driven automatic NS framework","","1","","15","","20 Oct 2020","","","IEEE","IEEE Magazines"
"Autonomous Network Slicing Prototype Using Machine-Learning-Based Forecasting for Radio Resources","N. Salhab; R. Langar; R. Rahim; S. Cherrier; A. Outtagarts","Amaris Consulting,France; University Gustave Eiffel,France; Lebanese University,France; University Gustave Eiffel,France; Nokia Bell Labs,France","IEEE Communications Magazine","5 Jul 2021","2021","59","6","73","79","With the emergence of virtualization and software automation for mobile networks, network slicing is enabling operators to dynamically provision network resources tuned to suit heterogeneous service requirements. This article investigates the architectures of the fifth generation (5G) of mobile networks experimental prototypes with a focus on network slicing. We present some existing 5G prototypes and identify their gaps. We then propose an architecture and a design of a 5G micro-service-based prototype. This prototype has the ability to auto-con-figure radio resources for network slices using machine-learning-powered decisions based on real-time acquired performance metrics. Finally, we discuss some use cases on top of this prototype and their related results before concluding.","1558-1896","","10.1109/MCOM.001.2000922","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9475164","","5G mobile communication;Network slicing;Prototypes;Computer architecture;Machine learning;Throughput;Software engineering","","","","","","15","","5 Jul 2021","","","IEEE","IEEE Magazines"
"AI-assisted resource advertising and pricing to realize distributed tenant-driven virtual network slicing in inter-DC optical networks","W. Lu; H. Fang; Z. Zhu","School of Information Science and Technology, University of Science and Technology of China, Hefei, China; School of Information Science and Technology, University of Science and Technology of China, Hefei, China; School of Information Science and Technology, University of Science and Technology of China, Hefei, China","2018 International Conference on Optical Network Design and Modeling (ONDM)","28 Jun 2018","2018","","","130","135","We propose a novel artificial intelligence (AI) assisted framework to realize virtual network (VNT) slicing in an inter-datacenter optical network (IDCON), where the infrastructure provider (InP) performs resource advertising and pricing based on deep reinforcement learning (DRL) and grants the virtual network embedding (VNE) schemes calculated distributedly by the tenants. Simulation results confirm that compared with the traditional centralized VNT slicing framework, our proposal can not only make the InP more profitable but also relieve its computation complexity effectively.","","978-3-903176-07-2","10.23919/ONDM.2018.8396119","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8396119","Inter-DC optical networks;Virtual network slicing;Knowledge-defined networking;Artificial intelligence","Indium phosphide;III-V semiconductor materials;Advertising;Pricing;Bandwidth;Optical fiber networks;Substrates","computer centres;distributed processing;learning (artificial intelligence);program slicing;resource allocation;virtualisation","inter-datacenter optical network;infrastructure provider;deep reinforcement learning;distributed tenant-driven virtual network;inter-DC optical networks;resource pricing;centralized VNT slicing;AI-assisted resource advertising;artificial intelligence assisted framework","","2","","17","","28 Jun 2018","","","IEEE","IEEE Conferences"
"5G Network Slice Configuration Based on Smart Grid","W. Zheng; D. Chen; J. Duan; H. Xu; W. Qian; L. Gu; J. Yao","State Grid Jiaxing Electric Power Supply Company,Jiaxing,China; State Grid Jiaxing Electric Power Supply Company,Jiaxing,China; State Grid Jiaxing Electric Power Supply Company,Jiaxing,China; State Grid Tongxiang Electric Power Supply Company,Jiaxing,China; State Grid Tongxiang Electric Power Supply Company,Jiaxing,China; State Grid Tongxiang Electric Power Supply Company,Jiaxing,China; Global Energy Interconnection Research Institute Co., Ltd,Nanjing,China","2021 IEEE 4th Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)","19 Jul 2021","2021","4","","560","564","The construction of a strong and smart grid is inseparable from the advancement of the power system, and the effective application of modern communication technologies allows the traditional grid to better transform into the energy Internet. With the advent of 5G, people pay close attention to the application of network slicing, not only as an emerging technology, but also as a new business model. In this article, we consider the delay requirements of certain services in the power grid. First, we analyze the security issues in network slicing and model the 5G core network slicing supply as a mixed integer linear programming problem. On this basis, a heuristic algorithm is proposed. According to the topological properties, resource utilization and delay of the slice nodes, the importance of them is sorted using the VIKOR method. In the slice link configuration stage, the shortest path algorithm is used to obtain the slice link physical path. Considering the delay of the slice link, a strategy for selecting the physical path is proposed. Simulations show that the scheme and algorithm proposed in this paper can achieve a high slice configuration success rate while ensuring the end-to-end delay requirements of the business, and meet the 5G core network slice security requirements.","2693-2776","978-1-7281-8535-4","10.1109/IMCEC51613.2021.9481999","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9481999","smart grid;5G technology;network slice security;slice configuration","5G mobile communication;Network slicing;Transforms;Delays;Smart grids;Mixed integer linear programming;Internet","","","","","","9","","19 Jul 2021","","","IEEE","IEEE Conferences"
"Research on intelligent logic design and application of campus MMTC scene based on 5G slicing technology","L. Tong; C. Zhang; R. Huang","Faculty of Education Beijing Normal University, Beijing 100875, China; Wuhan University of Technology, Wuhan 430070, China; Faculty of Education Beijing Normal University, Beijing 100875, China","China Communications","23 Aug 2021","2021","18","8","307","315","A consensus has been reached that 5G network slicing technology is becoming increasingly important in EMBB, MMTC and URLLC. However, this technology still has a long way to go in education industry. By selecting four types of demands in campus MMTC scenarios as specific application references, this research explores the architectural relationship between network slicing layer, intelligent terminal layer and application capability layer. Besides, emphasis has been put on the influences that virtual logic network design technology, isolation technology and standard technology has on application experiences. Under such goal, a two-dimensional route has been proposed to deploy network slicing technology based on the concept of full life cycle and the synergistic effect that AI algorithms has on slicing technology. This research is expected to nurture slicing technology, not only its technology chain, but more importantly, facilitate its value chain and large-scale vertical industry applications.","1673-5447","","10.23919/JCC.2021.08.022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9521183","5G slicing technology;MMTC;AI","5G mobile communication;Education;Network slicing;Massive machine type communications;Artificial intelligence;Industries;Access control","","","","","","","","23 Aug 2021","","","IEEE","IEEE Magazines"
"A Machine Learning Approach to 5G Infrastructure Market Optimization","D. Bega; M. Gramaglia; A. Banchs; V. Sciancalepore; X. Costa-Pérez","IMDEA Networks Institute, Leganés, Spain; Telematic Engineering Department, University Carlos III of Madrid, Leganés, Spain; Telematic Engineering Department, University Carlos III of Madrid, Leganés, Spain; NEC Laboratories Europe, Heidelberg, Germany; NEC Laboratories Europe, Heidelberg, Germany","IEEE Transactions on Mobile Computing","6 Feb 2020","2020","19","3","498","512","It is now commonly agreed that future 5G Networks will build upon the network slicing concept. The ability to provide virtual, logically independent “slices” of the network will also have an impact on the models that will sustain the business ecosystem. Network slicing will open the door to new players: the infrastructure provider, which is the owner of the infrastructure, and the tenants, which may acquire a network slice from the infrastructure provider to deliver a specific service to their customers. In this new context, how to correctly handle resource allocation among tenants and how to maximize the monetization of the infrastructure become fundamental problems that need to be solved. In this paper, we address this issue by designing a network slice admission control algorithm that (i) autonomously learns the best acceptance policy while (ii) it ensures that the service guarantees provided to tenants are always satisfied. The contributions of this paper include: (i) an analytical model for the admissibility region of a network slicing-capable 5G Network, (ii) the analysis of the system (modeled as a Semi-Markov Decision Process) and the optimization of the infrastructure providers revenue, and (iii) the design of a machine learning algorithm that can be deployed in practical settings and achieves close to optimal performance.","1558-0660","","10.1109/TMC.2019.2896950","H2020 5G-MoNArch project(grant numbers:761445); Spanish Ministry of Economy and Competitiveness(grant numbers:TEC2016-76795-C6-3-R); 5G-Transformer project(grant numbers:761536); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8632676","Network slicing;admission control;neural networks;machine learning;5G networks","5G mobile communication;Network slicing;Machine learning;Admission control;Biological system modeling;Machine learning algorithms;Optimization","5G mobile communication;learning (artificial intelligence);Markov processes;optimisation;resource allocation;telecommunication computing;telecommunication congestion control;telecommunication network management","network slice admission control algorithm;infrastructure providers revenue;machine learning algorithm;future 5G Networks;logically independent slices;network slicing;semi-Markov decision process","","19","","48","IEEE","1 Feb 2019","","","IEEE","IEEE Journals"
"A Review on 5G Technological Intervention in Smart Grid","D. Kumar; N. Pindoriya","Indian Institute of Technology,Electrical Engineering,Gandhinagar,Gujarat,India; Indian Institute of Technology,Electrical Engineering,Gandhinagar,Gujarat,India","2020 21st National Power Systems Conference (NPSC)","29 Jan 2021","2020","","","1","6","After progressing through the fog and edge computing, and Software Defined Networking (SDN), 5G is leading the way to the next paradigm shift in the networking industry. Several pioneering technologies such as network virtualization and softwarization, and network slicing are blossoming in the networking domain. The integrated intervention of these upcoming 5G technologies is leading to advancements in the Internet of Things (IoT) and Information and Communications Technology (ICT) infrastructure. The smart grid is one of the major vertical which will get a revamp in its communication network infrastructure. The 5G network slicing technology can well address challenges to the communication networks raised by the smart grid services such as orchestration flexibility, reliable isolated networks, security, and ultra-low latency networks. The technological intervention of the 5G network slicing to the smart grid, along with the service management and security aspects, leveraging blockchain network architecture, is reviewed in this paper. A novel conjoint architecture integrating all the network roadmap modernization is also presented. Moreover, technical resource allocation approaches for dynamic allocation of the network slices in the proposed architecture are analyzed.","","978-1-7281-8552-1","10.1109/NPSC49263.2020.9331759","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9331759","5G;blockchain;cloud computing;fog computing;network function virtualization;network slicing;software defined networking","5G mobile communication;Network slicing;Computer architecture;Smart grids;Communication networks;Resource management;Software defined networking","5G mobile communication;blockchains;Internet of Things;resource allocation;smart power grids;software defined networking;telecommunication network reliability;telecommunication network topology","smart grid services;reliable isolated networks;ultra-low latency networks;technological intervention;blockchain network architecture;network roadmap modernization;edge computing;networking industry;network virtualization;5G network slicing technology;networking domain;5G technological intervention;fog computing;software defined networking;network softwarization;Internet of Things;IoT;information and communications technology infrastructure;ICT infrastructure;service management;security aspects;resource allocation","","","","42","","29 Jan 2021","","","IEEE","IEEE Conferences"
"Improving Temperature Control in Smart Buildings Based in IoT Network Slicing Technique","R. Casado-Vara; F. De la Prieta; J. Prieto; J. M. Corchado","Bisite Research group, University of Salamanca, Spain; Bisite Research group, University of Salamanca, Spain; Bisite Research group, University of Salamanca, Spain; Bisite Research group, University of Salamanca, Spain","2019 IEEE Global Communications Conference (GLOBECOM)","27 Feb 2020","2019","","","1","6","In smart buildings there are many different types of IoT devices that collect measurements of the environment. These sensors can vary in their characteristics and can also influence the topology of the smart building. For this reason, IoT devices collect heterogeneous measurements. Using complex network and clustering techniques we have designed a new technique that allows to transform heterogeneous data into homogeneous data, this technique is called IoT slicing. This technique consists of creating a graph with the measurements of the IoT network, and virtualizing layers based on the clustering of the graph. To validate the efficiency of this new technique we present the results of a case study using a smart building temperature control algorithm.","2576-6813","978-1-7281-0962-6","10.1109/GLOBECOM38437.2019.9013263","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9013263","","Clustering algorithms;Smart buildings;Multiplexing;Prediction algorithms;Temperature control;Complex networks","building management systems;graph theory;Internet of Things;pattern clustering;temperature control","clustering techniques;complex network;heterogeneous measurements;IoT devices;IoT network slicing technique;smart building temperature control algorithm;IoT slicing;heterogeneous data","","1","","15","","27 Feb 2020","","","IEEE","IEEE Conferences"
"An Artificial Intelligence Framework for Slice Deployment and Orchestration in 5G Networks","G. Dandachi; A. De Domenico; D. T. Hoang; D. Niyato","CEA-LETI, Grenoble, France; CEA-LETI, Grenoble, France; School of Electrical and Data Engineering, University of Technology Sydney, Ultimo, NSW, Australia; School of Computer Science and Engineering, Nanyang Technological University, Singapore","IEEE Transactions on Cognitive Communications and Networking","9 Jun 2020","2020","6","2","858","871","Network slicing is a key enabler to successfully support 5G services with specific requirements and priorities. Due to the diversity of these services, slice deployment and orchestration are essential to guarantee service performance in a cost-effective way. Here, we propose an Artificial Intelligence framework for cross-slice admission and congestion control that simultaneously considers communication, computing, and storage resources to maximize resources utilization and operator revenue. First, we propose a smart feature extraction solution to analyze the characteristics of incoming requests together with the already deployed slices, and then automatically evaluates the request requirements to make appropriate decisions. Second, we design an online algorithm that controls the slice admission based on their priorities, the arrival and departure characteristics, and the available resources. To mitigate system overloading, our framework dynamically adjusts resources allocated to low priority slices, thereby reducing the dropping probability of new slice requests. The proposed algorithm offers outstanding advantages over traditional static approaches by automatically adapting the controller decisions to the system changes. Simulation results show that our framework significantly improves the resource utilization and reduces the slice request dropping probabilities up to 44% as compared to the baseline schemes.","2332-7731","","10.1109/TCCN.2019.2952882","France-Singapore MERLION 2017-2018, Singapore NRF National Satellite of Excellence, Design Science and Technology for Secure Critical Infrastructure NSoE(grant numbers:DeST-SCI2019-0007); A*STAR-NTU-SUTD Joint Research Grant Call on Artificial Intelligence for the Future of Manufacturing(grant numbers:RGANS1906,WASP/NTU M4082187 (4080)); Singapore MOE Tier(grant numbers:1 2017-T1-002-007 RG122/17); MOE Tier 2(grant numbers:MOE2014-T2-2-015 ARC4/15); Singapore(grant numbers:NRF2015- NRF-ISF001-2277); Singapore EMA Energy Resilience(grant numbers:NRF2017EWTEP003- 041); 5G-MoNArch project(grant numbers:761445); Phase II of the 5th Generation Public Private Partnership (5G-PPP) program partially; European Commission within the Horizon 2020 Framework Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8896931","Network slicing;reinforcement learning;admission and congestion control","Resource management;5G mobile communication;Admission control;Artificial intelligence;Cloud computing;Noise measurement;Computer architecture","5G mobile communication;artificial intelligence;feature extraction;probability;quality of service;resource allocation;telecommunication congestion control;telecommunication network planning","slice request dropping probabilities;online algorithm;arrival characteristics;departure characteristics;5G services;5G networks;cross-slice admission;network slicing;slice deployment;artificial intelligence framework;resource utilization;controller decisions;low priority slices;smart feature extraction solution;operator revenue;storage resources;congestion control","","3","","26","IEEE","12 Nov 2019","","","IEEE","IEEE Journals"
"Artificial Intelligence for Elastic Management and Orchestration of 5G Networks","D. M. Gutierrez-Estevez; M. Gramaglia; A. D. Domenico; G. Dandachi; S. Khatibi; D. Tsolkas; I. Balan; A. Garcia-Saavedra; U. Elzur; Y. Wang","Samsung Res., UK; Univ. Carlos III of Madrid, Leganés, Spain; Leti, CEA, Grenoble, France; Leti, CEA, Grenoble, France; Nomor Res. Germany, Munich, Germany; Mobics, Greece; Nokia Bell Labs., Germany; NEC Res. Labs. Eur. GmbH Germany, Germany; NA; Samsung Res., UK","IEEE Wireless Communications","25 Oct 2019","2019","26","5","134","141","The emergence of 5G enables a broad set of diversified and heterogeneous services with complex and potentially conflicting demands. For networks to be able to satisfy those needs, a flexible, adaptable, and programmable architecture based on network slicing is being proposed. A softwarization and cloudification of the communications networks is required, where network functions (NFs) are being transformed from programs running on dedicated hardware platforms to programs running over a shared pool of computational and communication resources. This architectural framework allows the introduction of resource elasticity as a key means to make an efficient use of the computational resources of 5G systems, but adds challenges related to resource sharing and efficiency. In this article, we propose Artificial Intelligence (AI) as a built-in architectural feature that allows the exploitation of the resource elasticity of a 5G network. Building on the work of the recently formed Experiential Network Intelligence (ENI) industry specification group of the European Telecommunications Standards Institute (ETSI) to embed an AI engine in the network, we describe a novel taxonomy for learning mechanisms that target exploiting the elasticity of the network as well as three different resource elastic use cases leveraging AI. This work describes the basis of a use case recently approved at ETSI ENI.","1558-0687","","10.1109/MWC.2019.1800498","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8809570","","Elasticity;Artificial intelligence;5G mobile communication;Computer architecture;Resource management;Cloud computing;Network slicing","5G mobile communication;artificial intelligence;cloud computing;resource allocation;telecommunication computing;telecommunication network management","network slicing;communications networks;computational communication resources;Artificial Intelligence;Experiential Network Intelligence industry specification group;elastic management;heterogeneous services;programmable architecture;5G networks;European Telecommunications Standards Institute;ETSI;resource sharing;AI engine","","16","","15","","21 Aug 2019","","","IEEE","IEEE Magazines"
"Integration Application of 5G and Smart Grid","S. Meng; Z. Wang; M. Tang; S. Wu; X. Li","China Electric Power Research Institute Co., Ltd,Information & Communication Department,Beijing,China; China Electric Power Research Institute Co., Ltd,Information & Communication Department,Beijing,China; School of Information and Communication Engineering, Beijing University of Posts and Telecommunications,Beijing,China; China Electric Power Research Institute Co., Ltd,Information & Communication Department,Beijing,China; China Electric Power Research Institute Co., Ltd,Information & Communication Department,Beijing,China","2019 11th International Conference on Wireless Communications and Signal Processing (WCSP)","8 Dec 2019","2019","","","1","7","With the development of smart grids, existing power private networks fell short of the demanding requirements of industrial applications, especially with respect to bandwidth, end to end latency, and reliability. Combining with vertical industry is a major development direction of 5G mobile communication technology, while its communication capacity of large bandwidth, low latency, high reliability as well as massive connection is matched with the service requirements of smart grid service. How to apply 5G to smart grid is widely concerned. This article is a survey of the related technologies about convergence application of 5G and smart grid. It first reviews the update of the 5G physical layer technologies, which support for realizing the communication requirements of the 5G application scenarios. Then it introduces the key technologies such as 5G mobile edge computing, computational caching and network slicing, which is the basis for 5G to support vertical multi-service networks and meet different service requirements. Finally, it presents several network slicing logic architectures of the access network, transmission network and core network which are matched with power service.","2472-7628","978-1-7281-3555-7","10.1109/WCSP.2019.8927874","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8927874","5G;power wireless services;network slicing architecture","5G mobile communication;Edge computing;Smart grids;Cloud computing;Computer architecture;Wireless communication;Bandwidth","5G mobile communication;smart power grids","core network;transmission network;access network;network slicing;computational caching;service requirements;communication capacity;smart grids;smart grid service;5G mobile communication technology;power private networks;vertical multiservice networks;5G mobile edge computing","","3","","36","","8 Dec 2019","","","IEEE","IEEE Conferences"
"Automation of 5G Network Slice Control Functions with Machine Learning","V. P. Kafle; P. Martinez-Julia; T. Miyazawa","Punjab Eng. Coll., Chandigarh, India; Univ. of Murcia, Murcia, Spain; Keio Univ., Yokohama, Japan","IEEE Communications Standards Magazine","6 Dec 2019","2019","3","3","54","62","5G communication networks will be complex due to the emergence of an unprecedented huge number of new types of connected devices and services. Moreover, the on-demand creation of virtual network slices, each suitable for a different application, is posing challenges to the efficient management of network resources, while optimally satisfying the quality of service requirements in time-varying workloads and network conditions. This article, which is tutorial in nature, introduces 5G network slices (from the point of view of the non-wireless part of the network) and elaborates the necessity of automation of network functions related to the design, construction, deployment, operation, control, and management of network slices. It revisits machine learning techniques applicable to the automation of network functions. It then presents a machine-learning-based framework for the operation and control of network slices by continuously monitoring workload, performance, and resource utilization, and dynamically adjusting the resources allocated to network slices. Preliminary results of workload prediction accuracy obtained from the analysis of real-life data collected from a web server are also reported.","2471-2833","","10.1109/MCOMSTD.001.1900010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8928169","","Machine learning;5G mobile communication;Automation;Monitoring;Resource management;Quality of service;Network security;Communication networks","5G mobile communication;learning (artificial intelligence);quality of service;resource allocation;telecommunication computing;virtualisation","quality of service requirements;machine learning;network functions;network resources;virtual network slices;5G communication networks","","3","","14","","6 Dec 2019","","","IEEE","IEEE Magazines"
"AI-based Network-aware Service Function Chain Migration in 5G and Beyond Networks","R. A. Addad; D. L. C. Dutra; T. Taleb; H. Flinck","Aalto University, Espoo, Finland. (e-mail: rami.addad@aalto.fi); Federal University of Rio de Janeiro, Rio de Janeiro, Brazil.; Aalto University, Espoo, Finland, and also with Centre for Wireless Communications (CWC), University of Oulu, Oulu, Finland, and also with Computer and Information Security Department, Sejong University, Seoul, South Korea.; Nokia Bell Labs, Espoo, Finland.","IEEE Transactions on Network and Service Management","","2021","PP","99","1","1","While the 5G network technology is maturing and the number of commercial deployments is growing, the focus of the networking community is shifting to services and service delivery. 5G networks are designed to be a common platform for very distinct services with different characteristics. Network Slicing has been developed to offer service isolation between the different network offerings. Cloud-native services that are composed of a set of inter-dependent micro-services are assigned into their respective slices that usually span multiple service areas, network domains, and multiple data centers. Due to mobility events caused by moving end-users, slices with their assigned resources and services need to be re-scoped and re-provisioned. This leads to slice mobility whereby a slice moves between service areas and whereby the inter-dependent service and resources must be migrated to reduce system overhead and to ensure low-communication latency by following end-user mobility patterns. Recent advances in computational hardware, Artificial Intelligence, and Machine Learning have attracted interest within the communication community to study and experiment self-managed network slices. However, migrating a service instance of a slice remains an open and challenging process, given the needed co-ordination between inter-cloud resources, the dynamics, and constraints of inter-data center networks. For this purpose, we introduce a Deep Reinforcement Learning based agent that is using two different algorithms to optimize bandwidth allocations as well as to adjust the network usage to minimize slice migration overhead. We show that this approach results in significantly improved Quality of Experience. To validate our approach, we evaluate the agent under different configurations and in real-world settings and present the results.","1932-4537","","10.1109/TNSM.2021.3074618","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9409935","5G and beyond;Service Function Chain;Artificial Intelligence;Machine Learning;Multi-access Edge Computing;Deep Reinforcement Learning;Management and Orchestration.","5G mobile communication;Bandwidth;Cloud computing;Computer architecture;Channel allocation;Servers;Resource management","","","","","","","IEEE","21 Apr 2021","","","IEEE","IEEE Early Access Articles"
"AI in 5G Networks: Challenges and Use Cases","S. Lange; S. Schwarzmann; M. Gajić; T. Zinner; F. A. Kraemer",NA; NA; NA; NA; NA,"Communication Networks and Service Management in the Era of Artificial Intelligence and Machine Learning","","2021","","","101","122","To support heterogeneous network services with strict requirements for various performance characteristics, 5G networks leverage network softwarization and virtualization paradigms such as software defined networking (SDN), network functions virtualization (NFV), and network slicing. The resulting architecture features a high degree of complexity with numerous interfaces to achieve additional goals like programmability, automation, service‐awareness, and resource efficiency. Recent advances in the domain of Machine Learning (ML) and Artificial Intelligence (AI) make mechanisms from these domains promising candidates to cope with the complexity regarding the management and orchestration (MANO) of physical and virtual network resources as well as to translate technical Quality of Service (QoS) parameters into user‐centric Quality of Experience (QoE) information.In this chapter, we discuss where and how ML and AI techniques can be applied in the 5G ecosystem. We cover three representative case studies focusing on QoE assessment, deployment of Virtualized Network Functions (VNFs), and slice management. Furthermore, we point out general and use case‐specific requirements and challenges, and derive guidelines for operators who plan to deploy such mechanisms in their network.","","9781119675440","10.1002/9781119675525.ch5","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9536366.pdf&bkn=9536223&pdfType=chapter","","Quality of experience;Monitoring;5G mobile communication;Task analysis;Software defined networking;Reinforcement learning;Measurement","","","","","","","","13 Sep 2021","","","IEEE","Wiley-IEEE Press eBook Chapters"
"Bringing 5G Into User's Smart Home","B. Dzogovic; B. Santos; T. Van Do; B. Feng; T. Van Do; N. Jacot",Oslo Metropolitan University; Oslo Metropolitan University; Oslo Metropolitan University / Telenor; Oslo Metropolitan University; Wolffia AS; Wolffia AS,"2019 IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf on Pervasive Intelligence and Computing, Intl Conf on Cloud and Big Data Computing, Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)","4 Nov 2019","2019","","","782","787","A successful 5G Smart Home must be able to support 5G devices along with WLAN devices. This is not possible with the 5G specifications, and to remedy the situation, this paper proposes a 5G Smart Home Solution that combines the 5G network slice concept with a femtocell home router, supporting both 5G and WLAN access technologies. While making use of standard technologies, the solution has proven to be efficient and reliable. For that purpose, in this paper we propose a femtocell network slice architecture for 5G, utilizing WLAN in order to connect the user's smart home with the distributed cloud services.","","978-1-7281-3024-8","10.1109/DASC/PiCom/CBDCom/CyberSciTech.2019.00145","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8890488","Smart Home, Home automation, 5G mobile networks, 5G mobile systems, 5G network slicing, Femtocell, Internet of Things","Wireless LAN;5G mobile communication;Smart homes;Security;Network slicing;Communication system security;Internet of Things","5G mobile communication;cloud computing;femtocellular radio;home automation;mobile computing;wireless LAN","5G Smart Home Solution;5G network slice concept;femtocell home router;femtocell network slice architecture;WLAN devices;WLAN access technologies;distributed cloud services","","","","25","","4 Nov 2019","","","IEEE","IEEE Conferences"
"Distributed AI-based Security for Massive Numbers of Network Slices in 5G & Beyond Mobile Systems","B. Chafika; T. Taleb; C. -T. Phan; C. Tselios; G. Tsolis",Aalto University; Aalto University; b< >com; Citrix Systems Inc.; Citrix Systems Inc.,"2021 Joint European Conference on Networks and Communications & 6G Summit (EuCNC/6G Summit)","28 Jul 2021","2021","","","401","406","The envisioned massive deployment of network slices in 5G and beyond mobile systems makes the shift towards zero-touch, scalable and secure slice lifecycle management a necessity. This is to harvest the benefits of network slicing in enabling profitable services. These benefits will not be attained without ensuring a high level security of the created network slices and the underlying infrastructure, above all in a zero-touch automated fashion. In this vein, this paper presents the architecture of an innovative network slicing security orchestration framework, being developed within the EU H2020 MonB5G project. The framework leverages the potential of Security as a Service (SECaaS) and Artificial Intelligence (AI) to foster fully-distributed, autonomic and fine-grained management of network slicing security from the node level to the end-to-end and inter-slice levels.","2575-4912","978-1-6654-1526-2","10.1109/EuCNC/6GSummit51104.2021.9482418","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9482418","","6G mobile communication;5G mobile communication;Network slicing;Veins;Scalability;Security;Artificial intelligence","","","","","","14","","28 Jul 2021","","","IEEE","IEEE Conferences"
